
Predictions were generated on 03-May-2022 at 09:10:22 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; SubDyn

Description from the FAST input file: FAST Certification Test #19: NREL 5.0 MW Baseline Wind Turbine with OC3 Monopile RF Configuration, for use in offshore analysis

Time      	TwHt1TPxi 	TwHt1TPyi 	TTDspTwst 	PtfmSurge 	PtfmSway  	PtfmRoll  	PtfmPitch 	M2N1TDXss 	M2N1TDYss 	M1N1TDXss 	M1N1TDYss 
(s)       	(m)       	(m)       	(deg)     	(m)       	(m)       	(deg)     	(deg)     	(m)       	(m)       	(m)       	(m)       
    0.0000	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0500	 2.315E-05	 2.913E-21	 0.000E+00	 1.330E-03	 3.350E-21	 1.358E-20	-5.829E-03	 2.283E-03	 2.779E-21	 3.129E-03	 0.000E+00
    0.1000	-4.329E-04	-6.156E-21	 0.000E+00	 4.616E-03	 2.697E-20	-1.116E-20	-5.508E-03	 5.490E-03	 2.209E-20	 6.267E-03	 0.000E+00
    0.1500	-7.709E-04	-4.533E-21	 0.000E+00	 8.531E-03	-1.607E-22	-2.092E-20	-3.127E-03	 8.986E-03	-5.540E-21	 9.398E-03	 0.000E+00
    0.2000	-3.924E-04	 1.722E-20	 0.000E+00	 1.140E-02	-6.275E-20	 1.065E-19	-3.613E-03	 1.196E-02	-3.896E-20	 1.252E-02	 0.000E+00
    0.2500	 4.168E-04	 2.332E-20	 0.000E+00	 1.394E-02	-4.441E-20	 1.113E-19	-5.312E-03	 1.479E-02	-2.392E-20	 1.563E-02	 0.000E+00
    0.3000	 1.066E-03	 1.671E-21	 0.000E+00	 1.753E-02	 4.897E-20	-9.873E-20	-4.246E-03	 1.818E-02	 3.000E-20	 1.873E-02	 0.000E+00
    0.3500	 1.555E-03	-1.866E-20	 0.000E+00	 2.171E-02	 9.606E-20	-2.577E-19	-1.331E-03	 2.184E-02	 4.995E-20	 2.180E-02	 0.000E+00
    0.4000	 2.268E-03	-5.802E-22	 0.000E+00	 2.494E-02	 1.558E-20	-3.680E-20	-6.285E-04	 2.496E-02	 9.815E-21	 2.486E-02	 0.000E+00
    0.4500	 3.239E-03	 2.988E-20	 0.000E+00	 2.707E-02	-7.495E-20	 1.767E-19	-2.996E-03	 2.751E-02	-4.289E-20	 2.789E-02	 0.000E+00
    0.5000	 4.159E-03	 2.592E-20	 0.000E+00	 2.926E-02	-4.459E-20	 1.012E-19	-5.579E-03	 3.011E-02	-2.527E-20	 3.089E-02	 0.000E+00
    0.5500	 4.992E-03	-1.047E-20	 0.000E+00	 3.201E-02	 5.622E-20	-1.025E-19	-6.706E-03	 3.302E-02	 3.466E-20	 3.386E-02	 0.000E+00
    0.6000	 6.101E-03	-2.302E-20	 0.000E+00	 3.470E-02	 6.041E-20	-1.096E-19	-7.628E-03	 3.584E-02	 3.795E-20	 3.680E-02	 0.000E+00
    0.6500	 7.745E-03	 1.130E-20	 0.000E+00	 3.697E-02	-4.304E-20	 6.098E-20	-9.255E-03	 3.840E-02	-2.847E-20	 3.970E-02	 0.000E+00
    0.7000	 9.817E-03	 4.432E-20	 0.000E+00	 3.948E-02	-8.506E-20	 1.800E-19	-1.020E-02	 4.107E-02	-5.019E-20	 4.257E-02	 0.000E+00
    0.7500	 1.214E-02	 3.021E-20	 0.000E+00	 4.274E-02	 3.378E-21	 1.546E-20	-9.093E-03	 4.413E-02	 4.088E-21	 4.539E-02	 0.000E+00
    0.8000	 1.477E-02	 1.945E-21	 0.000E+00	 4.633E-02	 8.871E-20	-2.073E-19	-6.852E-03	 4.734E-02	 5.019E-20	 4.816E-02	 0.000E+00
    0.8500	 1.778E-02	 1.909E-20	 0.000E+00	 4.954E-02	 4.704E-20	-1.191E-19	-5.262E-03	 5.030E-02	 2.633E-20	 5.089E-02	 0.000E+00
    0.9000	 2.104E-02	 5.648E-20	 0.000E+00	 5.233E-02	-3.744E-20	 6.669E-20	-4.690E-03	 5.302E-02	-2.297E-20	 5.357E-02	 0.000E+00
    0.9500	 2.435E-02	 5.220E-20	 0.000E+00	 5.505E-02	-3.606E-20	 5.767E-20	-4.414E-03	 5.569E-02	-2.339E-20	 5.620E-02	 0.000E+00
    1.0000	 2.767E-02	 1.114E-20	 0.000E+00	 5.768E-02	 2.983E-20	-6.904E-20	-4.378E-03	 5.830E-02	 1.640E-20	 5.877E-02	 0.000E+00
    1.0500	 3.116E-02	-5.685E-21	 0.000E+00	 5.992E-02	 3.943E-20	-7.748E-20	-5.197E-03	 6.068E-02	 2.415E-20	 6.128E-02	 0.000E+00
    1.1000	 3.492E-02	 1.689E-20	 0.000E+00	 6.180E-02	-2.643E-20	 7.446E-20	-6.736E-03	 6.283E-02	-1.366E-20	 6.373E-02	 0.000E+00
    1.1500	 3.892E-02	 3.016E-20	 0.000E+00	 6.379E-02	-6.446E-20	 1.590E-19	-7.864E-03	 6.501E-02	-3.579E-20	 6.612E-02	 0.000E+00
    1.2000	 4.317E-02	 1.341E-20	 0.000E+00	 6.616E-02	-2.507E-20	 8.176E-20	-7.765E-03	 6.736E-02	-1.185E-20	 6.845E-02	 0.000E+00
    1.2500	 4.776E-02	 5.189E-21	 0.000E+00	 6.877E-02	 2.508E-20	-3.716E-20	-6.675E-03	 6.979E-02	 1.611E-20	 7.070E-02	 0.000E+00
    1.3000	 5.270E-02	 3.065E-20	 0.000E+00	 7.141E-02	 1.887E-20	-5.673E-20	-5.149E-03	 7.220E-02	 9.808E-21	 7.289E-02	 0.000E+00
    1.3500	 5.788E-02	 5.431E-20	 0.000E+00	 7.407E-02	 4.779E-22	-3.232E-20	-3.329E-03	 7.457E-02	-2.975E-21	 7.500E-02	 0.000E+00
    1.4000	 6.315E-02	 4.827E-20	 0.000E+00	 7.676E-02	 1.776E-20	-6.209E-20	-1.297E-03	 7.693E-02	 8.236E-21	 7.704E-02	 0.000E+00
    1.4500	 6.841E-02	 3.672E-20	 0.000E+00	 7.927E-02	 3.941E-20	-9.551E-20	 4.161E-04	 7.917E-02	 2.233E-20	 7.901E-02	 0.000E+00
    1.5000	 7.364E-02	 3.985E-20	 0.000E+00	 8.138E-02	 2.770E-20	-8.147E-20	 1.190E-03	 8.116E-02	 1.437E-20	 8.089E-02	 0.000E+00
    1.5500	 7.882E-02	 3.835E-20	 0.000E+00	 8.307E-02	 2.552E-21	-1.680E-20	 1.012E-03	 8.290E-02	 3.063E-22	 8.270E-02	 0.000E+00
    1.6000	 8.392E-02	 1.727E-20	 0.000E+00	 8.456E-02	-1.093E-20	 3.228E-20	 4.326E-04	 8.450E-02	-5.317E-21	 8.443E-02	 0.000E+00
    1.6500	 8.898E-02	-1.845E-22	 0.000E+00	 8.603E-02	-1.933E-20	 6.651E-20	-3.078E-05	 8.604E-02	-9.192E-21	 8.607E-02	 0.000E+00
    1.7000	 9.408E-02	 3.688E-21	 0.000E+00	 8.752E-02	-3.069E-20	 8.432E-20	-1.455E-04	 8.756E-02	-1.654E-20	 8.762E-02	 0.000E+00
    1.7500	 9.925E-02	 1.147E-20	 0.000E+00	 8.908E-02	-2.880E-20	 7.848E-20	 2.803E-04	 8.907E-02	-1.530E-20	 8.909E-02	 0.000E+00
    1.8000	 1.045E-01	 9.257E-21	 0.000E+00	 9.082E-02	-1.060E-20	 4.026E-20	 1.474E-03	 9.061E-02	-4.238E-21	 9.048E-02	 0.000E+00
    1.8500	 1.097E-01	 1.320E-20	 0.000E+00	 9.271E-02	 5.454E-21	-3.057E-21	 3.400E-03	 9.220E-02	 4.116E-21	 9.177E-02	 0.000E+00
    1.9000	 1.148E-01	 3.355E-20	 0.000E+00	 9.460E-02	 9.647E-21	-3.744E-20	 5.599E-03	 9.375E-02	 4.276E-21	 9.297E-02	 0.000E+00
    1.9500	 1.197E-01	 4.633E-20	 0.000E+00	 9.629E-02	 2.170E-20	-7.688E-20	 7.490E-03	 9.514E-02	 9.783E-21	 9.408E-02	 0.000E+00
    2.0000	 1.243E-01	 3.526E-20	 0.000E+00	 9.768E-02	 4.001E-20	-1.180E-19	 8.731E-03	 9.633E-02	 2.019E-20	 9.510E-02	 0.000E+00
    2.0500	 1.285E-01	 2.144E-20	 0.000E+00	 9.874E-02	 3.551E-20	-1.074E-19	 9.261E-03	 9.731E-02	 1.778E-20	 9.603E-02	 0.000E+00
    2.1000	 1.324E-01	 2.163E-20	 0.000E+00	 9.951E-02	 5.501E-21	-2.563E-20	 9.148E-03	 9.811E-02	 1.895E-21	 9.686E-02	 0.000E+00
    2.1500	 1.360E-01	 1.603E-20	 0.000E+00	 1.000E-01	-1.595E-20	 4.020E-20	 8.584E-03	 9.873E-02	-8.645E-21	 9.759E-02	 0.000E+00
    2.2000	 1.392E-01	-8.518E-21	 0.000E+00	 1.004E-01	-1.320E-20	 5.407E-20	 7.951E-03	 9.924E-02	-5.068E-21	 9.823E-02	 0.000E+00
    2.2500	 1.422E-01	-2.658E-20	 0.000E+00	 1.009E-01	-1.551E-20	 6.133E-20	 7.712E-03	 9.972E-02	-6.438E-21	 9.877E-02	 0.000E+00
    2.3000	 1.450E-01	-1.766E-20	 0.000E+00	 1.014E-01	-3.473E-20	 9.699E-20	 8.142E-03	 1.002E-01	-1.829E-20	 9.921E-02	 0.000E+00
    2.3500	 1.475E-01	-4.167E-21	 0.000E+00	 1.021E-01	-3.444E-20	 9.378E-20	 9.205E-03	 1.007E-01	-1.840E-20	 9.955E-02	 0.000E+00
    2.4000	 1.498E-01	-7.438E-21	 0.000E+00	 1.028E-01	-1.907E-21	 9.545E-21	 1.064E-02	 1.012E-01	-7.321E-22	 9.980E-02	 0.000E+00
    2.4500	 1.516E-01	-8.571E-21	 0.000E+00	 1.034E-01	 2.405E-20	-6.141E-20	 1.212E-02	 1.016E-01	 1.324E-20	 9.995E-02	 0.000E+00
    2.5000	 1.531E-01	 9.180E-21	 0.000E+00	 1.038E-01	 2.075E-20	-6.173E-20	 1.328E-02	 1.018E-01	 1.070E-20	 1.000E-01	 0.000E+00
    2.5500	 1.540E-01	 2.222E-20	 0.000E+00	 1.040E-01	 1.598E-20	-5.906E-20	 1.375E-02	 1.019E-01	 7.345E-21	 1.000E-01	 0.000E+00
    2.6000	 1.544E-01	 8.914E-21	 0.000E+00	 1.038E-01	 2.726E-20	-7.526E-20	 1.335E-02	 1.018E-01	 1.442E-20	 1.000E-01	 0.000E+00
    2.6500	 1.543E-01	-1.215E-20	 0.000E+00	 1.035E-01	 2.732E-20	-7.447E-20	 1.235E-02	 1.016E-01	 1.464E-20	 1.000E-01	 0.000E+00
    2.7000	 1.537E-01	-1.660E-20	 0.000E+00	 1.031E-01	-8.028E-22	-8.361E-21	 1.108E-02	 1.014E-01	-1.740E-21	 1.000E-01	 0.000E+00
    2.7500	 1.527E-01	-1.801E-20	 0.000E+00	 1.027E-01	-2.712E-20	 7.002E-20	 9.850E-03	 1.012E-01	-1.473E-20	 1.000E-01	 0.000E+00
    2.8000	 1.514E-01	-3.599E-20	 0.000E+00	 1.024E-01	-2.520E-20	 8.111E-20	 8.995E-03	 1.011E-01	-1.222E-20	 1.000E-01	 0.000E+00
    2.8500	 1.498E-01	-5.199E-20	 0.000E+00	 1.024E-01	-1.626E-20	 7.054E-20	 8.759E-03	 1.011E-01	-6.041E-21	 1.000E-01	 0.000E+00
    2.9000	 1.479E-01	-4.296E-20	 0.000E+00	 1.025E-01	-2.342E-20	 7.386E-20	 9.112E-03	 1.012E-01	-1.156E-20	 1.000E-01	 0.000E+00
