
Predictions were generated on 03-May-2022 at 09:24:35 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; SubDyn

Description from the FAST input file: FAST Certification Test #19: NREL 5.0 MW Baseline Wind Turbine with OC3 Monopile RF Configuration, for use in offshore analysis

Time      	TwHt1TPxi 	TwHt1TPyi 	TTDspTwst 	PtfmSurge 	PtfmSway  	PtfmRoll  	PtfmPitch 	TwHt1ALxt 	TwHt1ALyt 	M2N1TDXss 	M2N1TDYss 	M1N1TDXss 	M1N1TDYss 
(s)       	(m)       	(m)       	(deg)     	(m)       	(m)       	(deg)     	(deg)     	(m/s^2)   	(m/s^2)   	(m)       	(m)       	(m)       	(m)       
    0.0000	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0500	-4.889E-09	-4.775E-25	 0.000E+00	-3.847E-08	 7.058E-25	-3.116E-24	 2.785E-07	 4.673E-06	 2.980E-22	-9.505E-08	 1.020E-25	-1.892E-07	-1.174E-24
    0.1000	 8.321E-09	-8.843E-25	 0.000E+00	-3.239E-07	 1.527E-24	 9.130E-25	 1.124E-06	 2.728E-05	 1.434E-21	-5.307E-07	 5.785E-25	-8.417E-07	-4.031E-24
    0.1500	 9.037E-08	 4.952E-25	 0.000E+00	-1.109E-06	 1.408E-25	 1.180E-23	 2.011E-06	 1.687E-05	-9.411E-22	-1.462E-06	-1.113E-25	-1.964E-06	-6.933E-24
    0.2000	 2.162E-07	 2.786E-24	 0.000E+00	-2.453E-06	-1.816E-24	 1.072E-23	 2.746E-06	-1.933E-05	-7.057E-22	-2.916E-06	-2.247E-24	-3.535E-06	-1.020E-23
    0.2500	 2.941E-07	 2.724E-24	 0.000E+00	-4.223E-06	 8.349E-25	-1.380E-23	 3.508E-06	-4.128E-05	 9.948E-22	-4.801E-06	-2.669E-24	-5.549E-06	-1.335E-23
    0.3000	 2.616E-07	 2.778E-25	 0.000E+00	-6.345E-06	 8.298E-24	-2.289E-23	 4.348E-06	-3.937E-05	 8.696E-22	-7.065E-06	 1.917E-24	-8.006E-06	-1.602E-23
    0.3500	 1.313E-07	-1.620E-24	 0.000E+00	-8.947E-06	 9.358E-24	-8.624E-24	 5.126E-06	-2.051E-05	 1.389E-21	-9.799E-06	 3.311E-24	-1.092E-05	-1.934E-23
    0.4000	-5.342E-08	-3.795E-25	 0.000E+00	-1.221E-05	-8.408E-25	 1.977E-23	 5.701E-06	-2.180E-05	-1.047E-21	-1.315E-05	-2.816E-24	-1.438E-05	-2.244E-23
